id,category_id,generic_name,brand_name,maker,device_type,device_name,dose,administration_route,frequency,indication,self_injection,source,last_verified
1,1,インスリン製剤（超速効型）,フィアスプ注,ノボ ノルディスク,ペン型カートリッジ,ペンフィル 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
2,1,インスリン製剤（超速効型）,フィアスプ注,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
3,1,インスリン製剤（超速効型）,ノボラピッド注,ノボ ノルディスク,ペン型カートリッジ,ペンフィル 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
4,1,インスリン製剤（超速効型）,ノボラピッド注,ノボ ノルディスク,プレフィルドペン,フレックスタッチ,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
5,1,インスリン製剤（超速効型）,ノボラピッド注30ミックス,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
6,1,インスリン製剤（超速効型）,ノボラピッド注30ミックス,ノボ ノルディスク,ペン型カートリッジ,ペンフィル 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
7,1,インスリン製剤（超速効型）,ノボラピッド注50ミックス,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
8,1,インスリン製剤（超速効型）,ルムジェブ注,日本イーライリリー,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
9,1,インスリン製剤（超速効型）,ルムジェブ注,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
10,1,インスリン製剤（超速効型）,ルムジェブ注,日本イーライリリー,プレフィルドペン,ミリオペンHD,200単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
11,1,インスリン製剤（超速効型）,ヒューマログ注,日本イーライリリー,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
12,1,インスリン製剤（超速効型）,ヒューマログ注,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
13,1,インスリン製剤（超速効型）,ヒューマログミックス25注,日本イーライリリー,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
14,1,インスリン製剤（超速効型）,ヒューマログミックス25注,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
15,1,インスリン製剤（超速効型）,ヒューマログミックス50注,日本イーライリリー,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
16,1,インスリン製剤（超速効型）,ヒューマログミックス50注,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
17,1,インスリン製剤（超速効型）,アピドラ注,サノフィ,プレフィルドペン,ソロスター,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
18,1,インスリン製剤（超速効型）,アピドラ注,サノフィ,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
19,1,インスリン製剤（超速効型）,インスリンリスプロBS注,各社BS,プレフィルドペン/カート,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
20,1,インスリン製剤（超速効型）,インスリンアスパルトBS注,各社BS,プレフィルドペン/カート,,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
21,1,インスリン製剤（速効型）,ノボリンR注,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注/静注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
22,1,インスリン製剤（速効型）,ヒューマリンR注,日本イーライリリー,バイアル,,100単位/mL,皮下注/静注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
23,1,インスリン製剤（速効型）,ヒューマリンR注,日本イーライリリー,ペン型カートリッジ,カート 3mL,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
24,1,インスリン製剤（速効型）,ヒューマリンR注,日本イーライリリー,プレフィルドペン,ミリオペン,100単位/mL,皮下注,毎日,1型・2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
25,1,インスリン製剤（中間型）,ノボリンN注,ノボ ノルディスク,プレフィルドペン,フレックスペン,100単位/mL,皮下注,毎日,2型糖尿病,可,https://www.kegg.jp/medicus-bin/similar_product?kegg_drug=DG01636,2026-04
